Community Number,Community Name,Median Household Income
1,Rogers Park,31602
2,West Ridge,41144
3,Uptown,32328
4,Lincoln Square,40898
5,North Center,51758
6,Lake View,53881
7,Lincoln Park,68613
8,Near North Side,57811
9,Edison Park,57083
10,Norwood Park,53402
11,Jefferson Park,49640
12,Forest Glen,68269
13,North Park,49208
14,Albany Park,40711
15,Portage Park,45117
16,Irving Park,42037
17,Dunning,49367
18,Montclare,46636
19,Belmont Cragin,43159
20,Hermosa,38159
21,Avondale,36677
22,Logan Square,36245
23,Humboldt Park,28728
24,West Town,38915
25,Austin,33663
26,West Garfield Park,23121
27,East Garfield Park,24216
28,Near West Side,29588
29,North Lawndale,18342
30,South Lawndale,32320
31,Lower West Side,27763
32,Loop,65128
33,Near South Side,34329
34,Armour Square,22756
35,Douglas,24835
36,Oakland,10739
37,Fuller Park,18412
38,Grand Boulevard,14178
39,Kenwood,36612
40,Washington Park,15160
41,Hyde Park,35991
42,Woodlawn,18266
43,South Shore,27748
44,Chatham,32341
45,Avalon Park,44344
46,South Chicago,28279
47,Burnside,34790
48,Calumet Heights,46326
49,Roseland,38237
50,Pullman,30966
51,South Deering,34789
52,East Side,39724
53,West Pullman,40478
54,Riverdale,13178
55,Hegewisch,43665
56,Garfield Ridge,45436
57,Archer Heights,39431
58,Brighton Park,36245
59,McKinley Park,36010
60,Bridgeport,35535
61,New City,25647
62,West Elsdon,45310
63,Gage Park,36463
64,Clearing,45533
65,West Lawn,47017
66,Chicago Lawn,35983
67,West Englewood,26693
68,Englewood,18955
69,Greater Grand Crossing,27916
70,Ashburn,53633
71,Auburn Gresham,34238
72,Beverly,66823
73,Washington Heights,43201
74,Mount Greenwood,57493
75,Morgan Park,53133
76,O'Hare,43542
77,Edgewater,35766
