Community Number,Community Name,Median Household Income
1,Rogers Park,53438
2,West Ridge,64316
3,Uptown,63204
4,Lincoln Square,81358
5,North Center,141151
6,Lake View,105166
7,Lincoln Park,145315
8,Near North Side,118408
9,Edison Park,109771
10,Norwood Park,98471
11,Jefferson Park,85019
12,Forest Glen,130092
13,North Park,65645
14,Albany Park,72881
15,Portage Park,79293
16,Irving Park,81727
17,Dunning,77316
18,Montclare,67104
19,Belmont Cragin,57619
20,Hermosa,59771
21,Avondale,82958
22,Logan Square,93904
23,Humboldt Park,47128
24,West Town,121913
25,Austin,43109
26,West Garfield Park,33214
27,East Garfield Park,30946
28,Near West Side,97636
29,North Lawndale,33608
30,South Lawndale,41571
31,Lower West Side,66706
32,Loop,113488
33,Near South Side,115353
34,Armour Square,43787
35,Douglas,52565
36,Oakland,24413
37,Fuller Park,16906
38,Grand Boulevard,42981
39,Kenwood,53777
40,Washington Park,32608
41,Hyde Park,66280
42,Woodlawn,32189
43,South Shore,36391
44,Chatham,39952
45,Avalon Park,48206
46,South Chicago,43316
47,Burnside,42059
48,Calumet Heights,62515
49,Roseland,45878
50,Pullman,52782
51,South Deering,38072
52,East Side,59683
53,West Pullman,43871
54,Riverdale,19978
55,Hegewisch,64476
56,Garfield Ridge,83088
57,Archer Heights,55328
58,Brighton Park,47842
59,McKinley Park,63710
60,Bridgeport,68505
61,New City,40608
62,West Elsdon,57940
63,Gage Park,45828
64,Clearing,68281
65,West Lawn,64542
66,Chicago Lawn,40945
67,West Englewood,28468
68,Englewood,27317
69,Greater Grand Crossing,39832
70,Ashburn,71941
71,Auburn Gresham,40373
72,Beverly,119492
73,Washington Heights,63117
74,Mount Greenwood,102171
75,Morgan Park,64961
76,O'Hare,64433
77,Edgewater,65694
